凹凹 嗷嗷
GGKK 沟沟坎坎
GDBT 狗胆包天
GJTQ 狗急跳墙|过街天桥
GPGY 狗皮膏药
GSD 够受的|狗屎堆
GTJS 狗头军师
GWC 狗尾草
GWXD 狗尾续貂
GXPT 狗血喷头
GYG 狗咬狗
GZZ 狗崽子
GZRS 狗仗人势
GQTA 苟且偷安
GQTS 苟且偷生
GQZ 枸杞子
GQD 够瞧的
GDZ 鬼点子|够得着
GJQ 够交情
GJE 够劲儿
GWYZ 姑妄言之
GXYJ 姑息养奸
GHYG 孤魂野鬼
GJGR 孤家寡人
GGZD 呱呱坠地
GDRC 古道热肠
GWZ 古文字
GTS 古体诗
GWX 古文献
GAS 谷氨酸
GKE 谷壳儿
GGZH 骨鲠在喉
GJH 骨结核
GFJ 鼓风机
GFL 国防绿|鼓风炉
GRJT 固若金汤
GSL 固沙林
GDZY 故地重游
GJCY 故伎重演
GTFM 故态复萌
GZD 故纸堆
GYB 雇佣兵
GTLX 瓜田李下
GZEL 瓜子儿脸
GZRE 瓜子仁儿
GDP 刮地皮|果丹皮
GHD 刮胡刀
GLXC 寡廉鲜耻
GHC 挂号处
GYLW 挂一漏万
GDBJ 怪诞不经
GLGQ 怪里怪气
GSGQ 怪声怪气
GSLX 怪石嶙峋
GMDG 关门打狗
GMDJ 关门大吉
GMZY 关门主义
GCS 观察室|观察哨
GHG 观后感|广寒宫
GSY 观赏鱼
GXT 观象台
GYT 观音土
GZRD 观者如堵
GBMF 官逼民反
GFYZ 官复原职
GGXH 官官相护
GJZ 官架子
GNZ 官能症
GYWZ 官样文章
GYHT 官运亨通
GCRZ 棺材瓤子
GGGD 鳏寡孤独
GED 管儿灯
GYQ 管乐器
GZKB 管中窥豹
GYY 惯用语
GXS 盥洗室
GGQ 灌溉渠
GMT 鬼名堂|灌米汤
GBE 光板儿
GJD 光洁度
GKJR 光可鉴人
GWR 光污染
GDXW 光导纤维
GGE 果干儿|光杆儿
GJJ 过家家|广角镜
GBT 广播台
GDYY 广东音乐
GXSJ 归心似箭
GJDD 诡计多端
GHF 鬼画符
GJL 过街楼|鬼精灵
GKLH 鬼哭狼嚎
GMXQ 鬼迷心窍
GTGN 鬼头鬼脑
GYJL 鬼蜮伎俩
GZY 鬼主意
GDQ 鬼打墙
GBX 鬼把戏
GYJ 柜员机
GGLS 滚瓜烂熟
GDR 滚刀肉
GDS 滚动式
GCP 国产片
GFMA 国富民安
GFMQ 国富民强
GJGF 国际公法
GPJW 国破家亡
GSTX 国色天香
GZJ 果子酱
GZL 果子露
GSQC 过甚其词
GHCQ 过河拆桥
GLZE 过滤嘴儿
GMCS 过目成诵
GTF 过堂风
GYYY 过眼云烟
GYBJ 过犹不及
HHJ 哈哈镜
HLZ 红领章|海蛎子|哈喇子
HLHX 哈雷彗星
HMJ 蛤蟆镜
HBG 哈巴狗
HZTE 孩子头儿
HZW 孩子王
HDLY 海底捞月
HG 函购
HH 行货|黑货|诨号
HJ 划价|婚假
HK 活口|香港
HKSL 海枯石烂
HM 话梅
HX 户型
HYQ 海洋权
HZ 豪族|环子|海子
HPX 海平线
HSSM 海誓山盟
HSY 海水浴|核试验
HWGX 海外关系
HWQT 海外奇谈
HN 滑嫩|灰泥
HRC 害人虫
HXC 含羞草
HEBL 含而不露
HGRR 含垢忍辱
HYNS 含饴弄孙
HP 花盘||航拍
HSSY 含沙射影
HXPR 含血喷人
HHQC 含糊其词
HDXB 邯郸学步
HF 华发
HSB 函授班|寒暑表
HSDX 函授大学
HW 回文
HSX 寒酸相
HLSW 寒来暑往
HLL 汗淋淋|黑溜溜
HBX 旱冰鞋|汗背心
HCC 汗涔涔|灰沉沉
HJJ 滑稽剧|汗津津|户籍警
HNCD 汗牛充栋
HZZ 红蜘蛛|汗珠子|赫哲族|核装置
HBC 旱冰场|滑冰场|黑板擦
HYZ 旱鸭子|会员证
HTDD 撼天动地
HKX 航空信
HTF 航天服
HWEZ 毫无二致
HFBJ 豪放不羁
HSS 好身手|黑色素
HYED 好样儿的
HHXS 好好先生
HJBC 好景不长
HR 红人
HRJ 好人家
HSHQ 好声好气
HSH 好说话
HCLZ 好吃懒做
HWRS 好为人师
HZY 耗子药|虹鳟鱼
HCG 合成革
HDB 合订本|蝴蝶斑
HZG 合众国|踝子骨
HJH 合家欢
HZLH 合纵连横
HZGC 胡子工程|何足挂齿
HZZY 何罪之有
HBDC 悔不当初|何必当初
HGTC 和光同尘
HQSC 和气生财
HST 和尚头
HSL 和事佬
HMT 河漫滩
HNBZ 河南梆子
HNZZ 河南坠子
HQHY 河清海晏
HDG 核大国
HDC 喝倒彩|核电厂
HEZ 核讹诈|华尔兹
HHS 核黄素|火花塞|活火山
HJB 核军备
HLD 货郎担|核垄断|火力点
HTRE 核桃仁儿
HXQK 核心期刊
HZZF 涸辙之鲋
HZP 盒子炮
HFTY 鹤发童颜
HZC 鹤嘴锄
HBP 黑白片
HBLQ 灰不溜秋|黑不溜秋
HCL 黑材料
HGBY 黑更半夜
HGLD 黑咕隆咚
HMM 黑蒙蒙|黑茫茫
HMB 黑面包
HPJ 黑啤酒
HRB 黑热病|黄热病
HSYM 黑色幽默
HWD 黑窝点
HZR 黑种人
HHEJ 哼哈二将
HDM 会道门|横断面
HE 横额|核儿|花萼|后儿
HJM 横截面
HMLD 横眉冷对
HMNM 横眉怒目
HMSM 横眉竖目
HPM 横剖面
HSZJ 横生枝节
HTSW 横躺竖卧
HXWJ 横行无忌
HZBL 横征暴敛
HZB 横坐标
HYTY 烘云托月
HA 磺胺|红案|护岸|互爱
HDQ 红灯区
HJYS 红极一时
HLC 红铃虫
HMS 红霉素
HMZ 红模子
HNLN 红男绿女
HPS 活菩萨|黄皮书|红皮书
HXD 茴香豆|红小豆
HXG 红小鬼
HXCQ 红杏出墙
HYBM 红颜薄命
HYB 红眼病
HYS 红药水
HYZJ 红衣主教
HHZZ 鸿鹄之志
HMY 鸿门宴|黄梅雨
HEJ 猴儿急
HNMY 猴年马月
HPJE 猴皮筋儿
HTJ 后臀尖|火头军|猴头菌
HBT 后半天
HBY 后备役
HFZR 后发制人
HHY 后悔药
HJL 混交林|后脊梁
HKF 后空翻
HSKW 后生可畏
HTLB 后台老板
HYE 后尾儿
HZL 后坐力|虎着脸
HDD 厚墩墩
HGBJ 厚古薄今
HLQ 呼啦圈
HPYL 呼朋引类
HTQD 呼天抢地
HZJL 呼之即来
HLHR 忽冷忽热|互谅互让
HYHX 忽隐忽现
HLTZ 囫囵吞枣
HQQ 弧圈球
HBW 狐步舞
HLWB 狐狸尾巴
HPGY 狐朋狗友
HQGD 狐群狗党
HZCE 胡子茬儿
HZLC 胡子拉碴
HBLZ 胡编乱造
HCHH 胡吃海喝
HFQS 胡服骑射
HJME 胡椒面儿
HJMC 胡搅蛮缠
HQZ 糊墙纸
HTZ 糊涂账
HDH 画等号|蝴蝶花
HBXY 虎背熊腰
HJLP 虎踞龙盘
HKBY 虎口拔牙
HKYS 虎口余生
HTHN 滑头滑脑|昏头昏脑|虎头虎脑
HJHA 互敬互爱
HSBD 户枢不蠹
HEBQ 怙恶不悛
HBS 花把式
HBXW 花边新闻
HCZ 花池子
HDJ 幻灯机|花大姐
HDZ 花点子|坏点子|火电站
HGD 花骨朵
HHCZ 花花肠子
HLB 花柳病
HLS 黄连素|花露水
HQYX 花前月下
HQXT 花拳绣腿
HRYM 花容月貌
HSDE 花生豆儿
HSJ 花生酱
HSRE 花生仁儿
HYC 花椰菜
HZE 花籽儿
HDN 华达呢
HSD 华氏度
HSF 滑石粉
HXJ 滑翔机
HXB 坏血病|滑雪板
HXS 滑雪衫
HDL 划得来
HFC 化粪池
HWPY 化为泡影
HXFX 化学分析
HXN 化学能|和稀泥
HXXW 化学纤维
HXYS 化学元素
HYY 化验员
HBCJ 画饼充饥
HDWL 画地为牢
HQE 活钱儿|画圈儿
HJC 话家常|活教材
HWY 婚外孕|话外音
HGT 怀鬼胎
HXYE 坏心眼儿
HBZJ 缓兵之计
HCQ 缓冲器
HXQ 幻想曲
HFQ 换发球|黄泛区
HNJ 换脑筋
HQS 换气扇
HRBS 涣然冰释
HDWJ 荒诞无稽
HMJL 荒谬绝伦
HSHJ 慌手慌脚
HTHT 皇天后土
HSZY 黄色炸药
HBZ 活靶子|黄表纸
HDJR 黄道吉日
HDY 黄豆芽|活地狱
HHB 黄褐斑
HHL 黄昏恋
HJDD 黄金地带
HKXE 黄口小儿
HLM 黄粱梦
HMYT 黄毛丫头
HQM 黄曲霉
HWB 黄萎病
HRGS 恍如隔世
HSSR 灰色收入
HTTL 灰头土脸
HZJ 灰指甲
HFY 挥发油
HCJ 回车键
HGR 回锅肉|回归热
HGX 回归线
HJT 回教徒|火箭筒
HTL 回头率|回头路
HTSA 回头是岸
HGS 悔过书
HGZX 悔过自新
HJSN 毁家纾难
HYCB 毁誉参半
HSZN 婚生子女
HSSD 浑身是胆
HSMY 浑水摸鱼
HFTW 魂飞天外
HQMY 魂牵梦萦
HHME 混合面儿
HSMW 混世魔王
HXE 混血儿
HDF 活动房
HBJ 活报剧|火把节
HDT 活地图
HJG 活见鬼
HSR 活死人
HZD 活字典
HHC 火化场
HJHL 火急火燎
HJP 火箭炮
HKZ 火筷子
HSMM 火烧眉毛
HTS 火头上
HXZ 火星子
HYK 火药库
HZQL 火中取栗
HCQL 货畅其流
HLG 货郎鼓
HCTJ 祸从天降
HQXQ 祸起萧墙
JC 酒刺
JF 基肥
JJGG 叽叽嘎嘎
JLGL 叽里咕噜|叽里呱啦
JLWL 叽里哇啦
JB 锦标
JFC 机帆船
JGP 机关炮
JGSJ 机关算尽
JQFY 机器翻译
JQ 极权
JW 界外|鸡瘟
JXS 机械手|进修生|鸡血石
JXYD 机械运动|极限运动
JJC 经济舱|芨芨草
JFDD 鸡飞蛋打
JFGT 鸡飞狗跳
JGH 鸡冠花
JGZ 金龟子|鸡冠子
JJ 鸡奸|雎鸠
JLGS 鸡零狗碎
JMC 鸡毛菜
JMDZ 鸡毛掸子
JMX 鸡毛信
JMZ 鸡毛帚
JMGD 鸡鸣狗盗
JNJ 鸡内金
JQBL 鸡犬不留
JQST 鸡犬升天
JQXW 鸡犬相闻
JXT 鸡血藤
JN 胶泥|旧年
JT 江豚|警探
JG 酱瓜|交媾
JNLY 经年累月|积年累月
JPJR 积贫积弱
JSCD 积少成多
JK 简况|忌口
JNZ 基诺族
JWX 经纬线|基围虾
JQJZ 畸轻畸重
JJF 激将法
JA 劫案
JBSR 吉卜赛人
JRTX 吉人天相
JJSQ 见景生情|即景生情
JD 交电
JQAY 佶屈聱牙
JJZ 急就章|禁忌症
JKL 急口令
JLYT 急流勇退
JBB 急巴巴
JFZ 急腹症
JGHY 急公好义
JJB 急救包
JJX 急救箱
JRXH 急如星火
JXB 急性病
JERC 嫉恶如仇|疾恶如仇
JFJC 疾风劲草
JFZY 疾风骤雨
JYLS 疾言厉色
JYCQ 集腋成裘
JCH 集成化
JTH 集体户|交通壕
JTZ 集体照
JYC 集邮册
JZZ 集中制|居住证
JXDN 嫉贤妒能
JCSF 几次三番
JQJL 几起几落
JYG 挤牙膏
JSY 救生员|教师爷|紧身衣|脊髓炎|接生员
JZG 脊椎骨|君主国|交战国|架子工
JCB 揭疮疤|计程表
JSQ 计时器|加湿器|金丝雀|净水器
JSC 计算尺
JXW 记叙文
JNK 纪念卡
JZT 晶状体|纪传体
JJG 肩胛骨|季节工
JWBJ 既往不咎
JZN 继子女
JDQ 继电器|禁得起
JSXX 寄宿学校
JSZ 金嗓子|寄宿制
JSE 加塞儿
JSS 金闪闪|加时赛
JYTC 加油添醋
JBQ 降半旗|夹板气|搅拌器
JQJB 夹七夹八
JSF 救生筏|夹生饭|教唆犯
JO 金瓯|佳偶
JCF 家常饭
JDYD 家大业大
JTX 家天下
JTBC 家庭病床
JTFY 家庭副业
JTYY 家庭影院
JZXX 家长学校
JDK 假大空
JDX 假道学
JMJS 假模假式
JRJY 假仁假义
JXZZ 假戏真做
JYGZ 假洋鬼子
JZJ 假正经|金质奖
JDZ 禁得住|架得住
JZH 金盏花|架子花
JJSJ 嫁鸡随鸡
JE 娇儿|旧恶|阄儿|奸恶
JLL 尖溜溜
JSKB 尖酸刻薄
JZHS 尖嘴猴腮
JJLB 坚甲利兵
JBRF 健步如飞|间不容发
JZQ 芥子气|减震器|间奏曲
JZY 肩周炎
JKBC 艰苦备尝
JRBB 兼容并包
JCQ 监测器
JKQ 监控器
JP 剧评
JSZD 监守自盗
JWZX 监外执行
JPY 捡便宜
JPLE 捡破烂儿
JKZY 减亏增盈
JYF 减压阀
JME 碱面儿
JJS 间接税|狙击手
JJXJ 间接选举
JSWJ 见所未见
JFSD 见风使舵
JCQY 见财起意
JGD 见高低
JWSM 见危授命
JYW 见阎王
JYSQ 见异思迁
JGT 贱骨头
JQY 腱鞘炎
JBZ 箭靶子
JHRX 江河日下
JHPZ 江湖骗子
JLCJ 江郎才尽
JMJ 江米酒
JYDD 江洋大盗
JCJC 将错就错
JGBG 将功补过
JGSZ 将功赎罪
JJD 酒精灯|将军肚
JJQ 讲交情|讲价钱
JQFL 奖勤罚懒
JDF 借东风|酱豆腐
JCKX 交叉科学
JBJ 交杯酒
JJW 交际舞
JTC 交通车
JTXH 交通信号
JXLL 娇小玲珑
JSYY 骄奢淫逸
JZGS 胶柱鼓瑟
JQE 焦圈儿
JMY 结膜炎|角膜炎
JTSK 狡兔三窟
JXJ 绞刑架
JTB 脚踏板
JKLT 叫苦连天
JZE 较真儿|叫座儿
JXXZ 教学相长
JYY 教养院
JCE 接茬儿
JHB 接合部
JSP 接生婆
JLZS 嗟来之食
JBKG 揭不开锅
JLD 揭老底
JTJ 街头剧|掘土机
JYH 节育环
JFJP 劫富济贫
JHYS 劫后余生
JDYS 结党营私
JDZZ 结缔组织
JFFQ 结发夫妻
JHJ 结核菌
JHZ 结婚照
JJT 结晶体
JCBD 截长补短
JJGT 解甲归田
JKE 解扣儿
JNXZ 解囊相助
JPMQ 解剖麻雀
JYL 戒严令
JDSR 借刀杀人
JGFJ 借古讽今
JHXF 借花献佛
JJSD 借鸡生蛋
JJJC 借酒浇愁
JSHH 借尸还魂
JKYL 金科玉律
JPXS 金盆洗手
JYLY 金玉良言
JZYY 金枝玉叶
JBW 金本位
JCTQ 金蝉脱壳
JGS 金刚砂
JGB 金箍棒
JHH 金合欢
JJDL 金鸡独立
JJNS 金鸡纳霜
JKYY 金口玉言
JLY 金龙鱼
JLYY 金缕玉衣
JMS 金霉素|绝命书
JRGT 金融寡头
JSR 经手人|金丝绒
JTYN 金童玉女
JWCJ 金屋藏娇
JHTB 襟怀坦白
JYSS 紧衣缩食
JNMJ 锦囊妙计
JXQC 锦绣前程
JYYS 锦衣玉食
JQSY 尽其所有
JQFZ 近亲繁殖
JSLT 近水楼台
JTS 近体诗
JDB 进度表
JJH 进军号
JRHC 噤若寒蝉
JWE 京味儿
JYDG 京韵大鼓
JXD 经销点
JTM 惊堂木
JXP 惊险片
JSL 举手礼|精饲料
JMD 精密度
JPD 精品店
JSTE 精神头儿
JWTH 精卫填海
JZK 精子库
JZB 酒糟鼻|精装本
JDZW 井底之蛙
JPZ 景颇族
JFP 警匪片
JCZ 净产值
JXBM 敬谢不敏
JMQZ 静脉曲张
JHSY 镜花水月
JGE 究根儿
JQS 究其实
JZQC 鸠占鹊巢
JJGY 九九归一
JNYM 九牛一毛
JTN 九头鸟
JJSC 久经沙场
JFZJ 酒逢知己
JHER 酒酣耳热
JNFD 酒囊饭袋
JRPY 酒肉朋友
JSCQ 酒色财气
JKK 旧框框
JDCT 旧调重弹
JHC 菊花茶|救火车
JMDC 救命稻草
JST 救生艇
JDZF 就地正法
JLZ 拘留证
JNR 局内人
JAQM 举案齐眉
JRQL 拒人千里
JTEW 具体而微
JSFY 聚讼纷纭
JSCT 聚沙成塔
JQQX 捐弃前嫌
JYJ 卷扬机
JLM 卷帘门
JPG 卷铺盖
JZHF 卷帙浩繁
JYCX 决一雌雄
JKBT 绝口不提
JYX 绝缘性
JMR 掘墓人
JSGZ 军事管制
JHS 军火商
JLRS 军令如山
JZXD 君子协定
KD 咔嗒|看跌
KFD 咖啡豆
KST 喀斯特
KBQ 卡宾枪
KC 开衩|苦撑
KJM 卡介苗
KQ 空拳
KX 口型
KB 口杯|课表
KDK 空对空|开裆裤
KDC 开倒车|苦丁茶
KFJ 开房间
KG 刻工|开锅|开弓|髋骨|块根|开光|旷古|胯骨
KHX 开户行|空欢喜
KKZ 开口子
KKC 开快车
KMYD 开门揖盗
KSZS 开山祖师
KSM 开司米
KT 刊头|楷体
KTC 开天窗
KTX 开拓型
KXZ 空心砖|开小灶
KXG 开心果
KXW 宽心丸|开心丸
KY 宽宥|口译|口谕
KYJ 扩音机|开眼界
KYH 开洋荤
KYC 开夜车
KZ 快嘴|快照
KW 空文|口误
KJG 看家狗
KJX 看家戏
KDS 看得上|侃大山
KBS 看不上
KFSD 看风使舵
KXH 看笑话
KYS 阔叶树|看医生
KBY 康拜因
KDGE 扛大个儿
KN 渴念|奎宁|酷虐|抗凝
KR 枯荣|喟然|可人|抗热|溘然
KBZ 靠边站
KJZS 克尽职守|苛捐杂税
KLB 珂罗版
KM 空名|客满
KSC 瞌睡虫
KLJ 可兰经
KQKD 可圈可点
KSX 可视性
KQKJ 克勤克俭
KSB 克山病|哭丧棒|啃书本
KZQJ 刻舟求剑
KF 宽幅
KJFY 客家方言
KLK 客里空
KJC 课间操
KK 坑口
KMGP 坑蒙拐骗
KP 坑骗|空炮|鲲鹏|诓骗
KXC 空心菜
KJZ 空架子
KKWP 空口无凭
KZGZ 空中管制
KSD 空手道
KTB 空调病
KZXJ 空中小姐
KWSY 空无所有
KDWW 空洞无物
KGZY 空谷足音
KFX 孔方兄
KQL 孔雀蓝
KQS 孔雀石
KWYL 孔武有力
KBP 恐怖片
KE 空额|困厄
KME 抠门儿
KCKY 口出狂言
KCXS 口传心授
KEXC 口耳相传
KFXF 口服心服
KGSZ 口干舌燥
KMFJ 口蜜腹剑
KSZ 口水战
KTWX 口头文学
KZBF 口诛笔伐
KMFC 枯木逢春
KTML 哭天抹泪
KLYE 窟窿眼儿
KDCS 苦大仇深
KHE 苦活儿
KJGL 苦尽甘来
KRJ 苦肉计
KZZL 苦中作乐
KHK 夸海口
KND 跨年度
KDWH 宽大为怀
KYM 宽银幕
KGJ 髋关节
KXQ 狂想曲
KQH 矿泉壶
KWY 矿物油
KHZ 葵花籽
KLX 傀儡戏
KSYD 困兽犹斗
LJSP 垃圾食品
LBJH 拉帮结伙
LBJP 拉帮结派
LDW 拉丁舞
LDZM 拉丁字母
LG 乱搞
LHT 拉后腿
LHZ 拉祜族|兰花指|老虎灶
LH 磷火|犁铧|镂花|拉活
LJDK 拉家带口
LLP 拉郎配
LPT 莲蓬头|拉皮条
LST 拉山头|落俗套
LS 冷色|猎食|冷杉
LXL 拉下脸
LXS 老相识|拉下水|螺旋式
LYP 拉洋片
LZ 楼主
LBH 老本行|萝卜花|喇叭花
LBK 喇叭裤|凉白开|喇叭口
LMJ 露马脚|喇嘛教
LB 练笔|两便|露白
LBZ 老板桌|腊八粥|炉箅子
LC 懒虫|腊肠|冷菜|老粗
LW 卤味|老窝
LR 脸热|鹿茸|蜡人|炼乳|卤肉|邻人
LT 老套
LJJ 辣椒酱
LJY 辣椒油
LL 榴莲
LLQQ 来来去去
LA 拢岸|冷傲|令爱|莱案
LP 流盼|老派|礼聘
LPG 癞皮狗
LHB 拦洪坝|拦河坝
LCG 蓝筹股
LYJS 蓝牙技术
LGT 老骨头|懒骨头
LNT 烂泥塘
LCNM 郎才女貌
LBST 狼奔豕突
LXGF 狼心狗肺
LYB 狼牙棒
LZYX 狼子野心
LDRY 锒铛入狱
LJJH 浪迹江湖|老奸巨猾
LYS 捞油水|留一手
LKGG 劳苦功高
LGF 驴肝肺|劳改犯|练功房
LDB 雷达兵|劳动布
LDF 老豆腐|劳动服
LDQ 劳动权
LSDZ 劳师动众
LYFF 劳燕分飞
LJFL 老骥伏枥
LHY 领航员|老花眼
LJH 老江湖
LDD 落地灯|老搭档
LDBX 老大不小
LDCT 老调重弹
LHD 罗汉豆|老虎凳|龙虎斗
LHJ 老虎机|连环计
LHQ 离合器|老虎钳
LHL 老皇历|留后路
LKK 老框框
LWG 螺纹钢|老顽固
LMST 老马识途
LLQ 老来俏
LXCN 老羞成怒
LLSS 老老少少
LMK 冷面孔|老面孔
LNJ 老脑筋
LNB 老年斑
LNPC 老牛破车
LBGE 老白干儿
LRCB 老弱残兵
LSXY 老少咸宜
LSR 老熟人
LTZ 老套子|乱摊子|撂挑子
LX 脸形
LYG 老眼光
LYZ 老油子|老样子|两院制
LYC 老爷车
LYT 老油条
LYSG 老于世故
LBSS 乐不思蜀
LEWF 乐而忘返
LJSB 乐极生悲
LRR 乐融融|绿茸茸
LTT 乐陶陶|立体图
LTP 乐天派
LTZM 乐天知命
LYY 绿莹莹|乐悠悠
LJKD 勒紧裤带
LTWJ 雷霆万钧
LHE 刘海儿|零活儿|累活儿
LJS 累进税
LN 遛鸟|留鸟|羚牛|累年
LSLH 累死累活
LMY 肋膜炎
LFS 类风湿
LGC 类固醇
LBD 冷板凳
LBQ 冷兵器|滤波器
LCC 绿葱葱|冷藏车
LCK 冷藏库
LCS 冷藏室
LCX 冷藏箱
LCL 冷处理
LNQ 冷凝器
LNZZ 冷暖自知
LSS 凉丝丝|冷森森|绿松石|流失生|冷丝丝|冷飕飕
LSZ 流水账|冷水澡|孪生子
LTLN 愣头愣脑
LLLL 哩哩啦啦
LYX 梨园戏
LGE 离格儿
LJPD 离经叛道
LQSJ 离群索居
LXZJ 离弦之箭
LXBJ 离乡背井
LXB 练习簿|离心泵
LXLD 离心离德
LBR 礼拜日
LXXS 礼贤下士
LDTJ 李代桃僵
LCB 里程表
LJR 里脊肉
LTWG 里通外国
LWL 里外里
LQCQ 理屈词穷
LQH 力气活
LBMM 厉兵秣马
LZZD 立锥之地
LCCZ 立此存照
LDKQ 立等可取
LFT 立方体
LGSZ 立功赎罪
LJD 立脚点
LSCS 立身处世
LTDY 立体电影
LTJC 立体交叉
LTLH 立体绿化
LGL 利滚利
LGLM 利国利民
LGD 连锅端
LBDT 连蹦带跳
LJK 连脚裤
LKW 连裤袜
LBHZ 连鬓胡子
LDK 连裆裤
LGDP 连滚带爬
LLZ 连理枝|卵磷脂
LPDT 连跑带跳
LXXY 怜香惜玉
LHZX 联合战线
LJL 炼焦炉
LTL 炼铁炉
LMS 链霉素|罗曼史
LXH 良心话
LCMJ 良辰美景
LYKK 良药苦口
LBB 凉冰冰
LSJZ 梁上君子
LZT 两重天
LDZ 两党制
LDL 两点论
LFF 两分法
LLCD 绫罗绸缎|两肋插刀
LMG 两面光
LMSD 两面三刀
LXQY 两厢情愿
LXWC 两小无猜
LXGX 两性关系
LGG 亮光光
LSYW 聊胜于无
LTS 聊天室
LYZW 聊以自慰
LRCX 寥若晨星
LJZ 尥蹶子
LZLZ 列祖列宗
LXZ 烈性子
LQT 猎潜艇
LKJJ 临渴掘井
LYXY 临渊羡鱼
LZTT 临阵脱逃
LZGH 临终关怀
LYQ 淋浴器
LBX 六边形|淋巴腺|溜冰鞋
LSG 吝啬鬼|落水狗
LYLC 伶牙俐齿
LZM 灵长目
LZC 灵芝草
LYJ 羚羊角
LZG 零杂工
LCZQ 零存整取
LDSQ 零打碎敲
LQBS 零七八碎
LQSD 零敲碎打
LRPF 令人捧腹
LPXJ 另辟蹊径
LBC 溜冰场
LXPM 溜须拍马
LZDJ 溜之大吉
LZHY 溜之乎也
LCT 流程图
LCF 流窜犯
LKS 流口水
LLE 流浪儿
LLLQ 流里流气
LLJ 流量计
LSL 流失率|龙舌兰
LZS 流转税
LHS 罗汉松|留后手|落花生
LWB 留尾巴
LYD 留余地
LDP 榴弹炮
LWE 遛弯儿
LZE 遛早儿
LLL 六六六
LXQ 六弦琴
LXC 龙须草|龙须菜
LMZ 龙门阵|绿帽子
LTHX 龙潭虎穴
LXHB 龙行虎步
LXM 龙须面
LYHX 龙吟虎啸
LZH 龙爪槐
LZHD 龙争虎斗
LXE 露馅儿
LTK 露天矿
LTJ 露头角
LQX 录取线
LSSS 鹿死谁手
LBSY 路不拾遗
LCZZ 乱臣贼子
LTQ 乱弹琴
LZYT 乱作一团
LJYB 略见一斑
LSYC 略胜一筹
LHG 罗汉果
LMDK 罗曼蒂克
LQET 罗圈儿腿
LSD 螺丝刀
LSM 螺丝帽
LYZG 洛阳纸贵
LSH 络腮胡
LTC 骆驼草|骆驼刺
LDC 落地窗
LDS 落地式|落地扇
LLGH 落落寡合
LYGG 落叶归根
LDG 驴打滚
LCSF 屡次三番
LSBS 屡试不爽
LZLB 屡战屡败
LZLS 屡战屡胜
LDY 绿豆蝇
LXYC 略逊一筹
LZYE 略知一二
MML 麻麻亮
MDPE 麻袋片儿
MDF 麻豆腐|米豆腐
MGE 麦秆儿|蜜罐儿|麻秆儿
MJ 卖劲|闽剧|蜜橘
MS 冒死|面塑|摩丝
MSS 麻酥酥
MT 媚态|摸头|面汤|麻糖|描图|面瘫|魔头|弥陀
MZP 棉织品|毛织品|麻醉品|磨嘴皮|麻织品|免战牌
MZS 麻醉师
MBZ 毛边纸|门巴族|马鞭子
MCX 马齿苋
MDH 马大哈
MFZ 马粪纸
MHM 马海毛
MHP 马后炮
MKT 马口铁
MK 魔窟|帽盔|马裤|毛裤|麦糠|麦客
MLXW 马路新闻
MLYZ 马路牙子
MQZ 马前卒
MSK 马赛克
MSQT 马失前蹄
MSSZ 马首是瞻
MTB 马蹄表
MTL 马蹄莲
MTT 马蹄铁
MTX 马蹄袖
MTQ 马头琴
MWB 马尾辫
MDJ 骂大街
MDHZ 买椟还珠
MKMK 买空卖空
MLQ 买路钱
MCE 麦茬儿|没词儿
MFS 麦饭石
MRJ 麦乳精|美人蕉
MYT 毛丫头|麦芽糖
MGYJ 卖官鬻爵
MGQR 卖国求荣
MKL 卖苦力
MSQ 卖身契
MSTK 卖身投靠
MYQR 卖友求荣
MA 脉案
MGY 蘑菇云|脉管炎
MDMS 满打满算
MDD 木呆呆|满当当
ME 沫儿|满额|门额|末儿
MTC 满堂彩|木糖醇
MTH 摩托化|满堂红
MCD 慢车道
MJT 慢镜头
MMTT 慢慢腾腾
MP 鸣炮|门派|毛片|慢坡|篾片
MXZ 明细账|慢性子
MCZB 芒刺在背
MCY 盲肠炎
MRMX 盲人摸象
MRRS 茫然若失
MWTX 茫无头绪
MED 猫耳洞
MEY 猫儿眼
MBX 毛背心
MBL 毛玻璃
MG 蜜柑|面馆|米糕|明沟
MHZ 毛孩子
MHH 毛烘烘
MNZ 毛南族
MN 妙年|蒙难|毛呢|猛男|毛囊
MSMJ 毛手毛脚
MXY 毛线衣
MJE 猛劲儿|铆劲儿
MPH 冒牌货
MSG 冒失鬼
MBJR 貌不惊人
MHSL 貌合神离
MBE 没边儿|门鼻儿
MDMX 没大没小
MDS 没的说|磨刀石
MJMY 没家没业
MPML 没皮没脸
MPE 面片儿|没谱儿
MQMZ 没轻没重
MTE 没挑儿
MTCY 没头苍蝇
MXMF 没心没肺
MYE 没样儿
MZL 没着落
MGX 玫瑰香
MGZ 玫瑰紫|闷罐子
MGC 梅干菜|闷罐车
MJY 煤焦油
MQB 煤气表
MQD 煤气灯
MQG 煤气管
MQL 煤气炉
MYL 煤油炉
MSP 美术片
MSZ 美术字
MHEW 美猴儿王
MGD 镁光灯
MLX 昧良心
MR 磨人|棉绒|魅人|名儒|面软
MSMQ 闷声闷气
MHZJ 门户之见
MMH 门面话
MHL 闷葫芦
MSBX 闷声不响
MXD 明星队|盟兄弟
MHY 蒙汗药|迷幻药
MBF 猛不防|面包房
